Epoch: [0][0/1042]	 Time 18.192 (18.192)	 Data 16.373 (16.373)	 Loss 30.033 (30.033)	 EPE 200.734 (200.734)
Epoch: [0][10/1042]	 Time 0.353 (3.344)	 Data 0.000 (2.854)	 Loss 28.816 (31.833)	 EPE 197.042 (215.757)
Epoch: [0][20/1042]	 Time 0.355 (2.468)	 Data 0.000 (2.043)	 Loss 25.548 (28.341)	 EPE 177.800 (193.689)
Epoch: [0][30/1042]	 Time 0.356 (2.198)	 Data 0.000 (1.795)	 Loss 5.005 (23.886)	 EPE 31.749 (164.348)
Epoch: [0][40/1042]	 Time 14.203 (2.481)	 Data 13.875 (2.092)	 Loss 1.465 (18.680)	 EPE 10.604 (128.466)
Epoch: [0][50/1042]	 Time 0.348 (2.302)	 Data 0.000 (1.922)	 Loss 2.039 (15.339)	 EPE 14.105 (105.507)
Epoch: [0][60/1042]	 Time 0.356 (2.208)	 Data 0.000 (1.832)	 Loss 1.431 (13.058)	 EPE 10.324 (89.796)
Epoch: [0][70/1042]	 Time 0.350 (2.048)	 Data 0.000 (1.676)	 Loss 1.209 (11.399)	 EPE 7.663 (78.340)
Epoch: [0][80/1042]	 Time 8.955 (2.105)	 Data 8.604 (1.736)	 Loss 0.940 (10.152)	 EPE 5.770 (69.728)
Epoch: [0][90/1042]	 Time 3.431 (2.070)	 Data 3.099 (1.705)	 Loss 0.952 (9.169)	 EPE 6.456 (62.940)
Epoch: [0][100/1042]	 Time 4.458 (2.063)	 Data 4.124 (1.700)	 Loss 1.234 (8.373)	 EPE 7.927 (57.449)
Epoch: [0][110/1042]	 Time 0.346 (2.068)	 Data 0.000 (1.707)	 Loss 0.911 (7.706)	 EPE 5.873 (52.842)
Epoch: [0][120/1042]	 Time 8.566 (2.108)	 Data 8.229 (1.747)	 Loss 1.036 (7.149)	 EPE 6.646 (48.988)
Epoch: [0][130/1042]	 Time 0.370 (2.085)	 Data 0.000 (1.725)	 Loss 1.031 (6.683)	 EPE 6.844 (45.772)
Epoch: [0][140/1042]	 Time 8.658 (2.075)	 Data 8.327 (1.716)	 Loss 1.067 (6.285)	 EPE 6.891 (43.023)
Epoch: [0][150/1042]	 Time 0.355 (2.033)	 Data 0.000 (1.675)	 Loss 0.890 (5.930)	 EPE 5.296 (40.567)
Epoch: [0][160/1042]	 Time 5.820 (2.031)	 Data 5.485 (1.674)	 Loss 0.726 (5.617)	 EPE 4.802 (38.410)
Epoch: [0][170/1042]	 Time 2.640 (1.995)	 Data 2.313 (1.639)	 Loss 0.750 (5.342)	 EPE 4.783 (36.503)
Epoch: [0][180/1042]	 Time 3.988 (1.992)	 Data 3.653 (1.636)	 Loss 0.899 (5.092)	 EPE 5.869 (34.773)
Epoch: [0][190/1042]	 Time 0.347 (1.961)	 Data 0.000 (1.606)	 Loss 0.562 (4.866)	 EPE 3.473 (33.213)
Epoch: [0][200/1042]	 Time 4.876 (1.957)	 Data 4.546 (1.602)	 Loss 0.988 (4.667)	 EPE 6.520 (31.837)
Epoch: [0][210/1042]	 Time 1.798 (1.939)	 Data 1.473 (1.585)	 Loss 0.776 (4.484)	 EPE 5.066 (30.577)
Epoch: [0][220/1042]	 Time 5.061 (1.915)	 Data 4.732 (1.562)	 Loss 0.774 (4.317)	 EPE 4.769 (29.425)
Epoch: [0][230/1042]	 Time 0.353 (1.898)	 Data 0.000 (1.545)	 Loss 0.666 (4.167)	 EPE 4.257 (28.391)
Epoch: [0][240/1042]	 Time 2.540 (1.888)	 Data 2.201 (1.535)	 Loss 0.977 (4.029)	 EPE 5.971 (27.430)
Epoch: [0][250/1042]	 Time 7.018 (1.896)	 Data 6.681 (1.543)	 Loss 0.836 (3.899)	 EPE 5.524 (26.533)
Epoch: [0][260/1042]	 Time 5.472 (1.914)	 Data 5.141 (1.562)	 Loss 0.727 (3.778)	 EPE 4.586 (25.704)
Epoch: [0][270/1042]	 Time 0.348 (1.896)	 Data 0.000 (1.544)	 Loss 0.588 (3.665)	 EPE 3.767 (24.920)
Epoch: [0][280/1042]	 Time 0.353 (1.858)	 Data 0.000 (1.506)	 Loss 0.909 (3.563)	 EPE 5.738 (24.210)
Epoch: [0][290/1042]	 Time 1.314 (1.847)	 Data 0.984 (1.496)	 Loss 0.766 (3.464)	 EPE 4.613 (23.526)
Epoch: [0][300/1042]	 Time 9.455 (1.860)	 Data 9.126 (1.509)	 Loss 0.820 (3.372)	 EPE 5.036 (22.888)
Epoch: [0][310/1042]	 Time 0.351 (1.852)	 Data 0.000 (1.501)	 Loss 0.816 (3.285)	 EPE 5.312 (22.291)
Epoch: [0][320/1042]	 Time 0.346 (1.845)	 Data 0.000 (1.495)	 Loss 1.022 (3.209)	 EPE 6.889 (21.767)
Epoch: [0][330/1042]	 Time 2.803 (1.843)	 Data 2.474 (1.492)	 Loss 0.684 (3.133)	 EPE 4.327 (21.242)
Epoch: [0][340/1042]	 Time 10.665 (1.861)	 Data 10.332 (1.511)	 Loss 0.767 (3.061)	 EPE 4.586 (20.741)
Epoch: [0][350/1042]	 Time 0.362 (1.860)	 Data 0.000 (1.510)	 Loss 0.820 (2.993)	 EPE 5.601 (20.273)
Epoch: [0][360/1042]	 Time 0.350 (1.838)	 Data 0.000 (1.488)	 Loss 0.692 (2.930)	 EPE 4.207 (19.841)
Epoch: [0][370/1042]	 Time 2.187 (1.829)	 Data 1.853 (1.479)	 Loss 0.617 (2.871)	 EPE 3.965 (19.430)
Epoch: [0][380/1042]	 Time 7.943 (1.832)	 Data 7.613 (1.482)	 Loss 0.559 (2.813)	 EPE 3.699 (19.025)
Epoch: [0][390/1042]	 Time 0.347 (1.816)	 Data 0.000 (1.466)	 Loss 0.646 (2.756)	 EPE 4.238 (18.634)
Epoch: [0][400/1042]	 Time 0.349 (1.793)	 Data 0.000 (1.443)	 Loss 0.627 (2.705)	 EPE 4.153 (18.284)
Epoch: [0][410/1042]	 Time 5.443 (1.792)	 Data 5.081 (1.442)	 Loss 0.602 (2.656)	 EPE 4.029 (17.949)
Epoch: [0][420/1042]	 Time 5.527 (1.794)	 Data 5.192 (1.444)	 Loss 0.593 (2.610)	 EPE 3.661 (17.629)
Epoch: [0][430/1042]	 Time 0.348 (1.779)	 Data 0.000 (1.429)	 Loss 0.672 (2.565)	 EPE 4.274 (17.319)
Epoch: [0][440/1042]	 Time 0.363 (1.780)	 Data 0.000 (1.430)	 Loss 0.531 (2.522)	 EPE 3.015 (17.021)
Epoch: [0][450/1042]	 Time 3.851 (1.774)	 Data 3.523 (1.425)	 Loss 0.718 (2.481)	 EPE 4.579 (16.739)
